Cell,x,y
Nk_cells,0.08,0.079840102
Nk_cells,0.257142857,0.256998519
Nk_cells,0.28,0.279875213
Nk_cells,0.266666667,0.265070899
Nk_cells,0.181818182,0.175900873
Nk_cells,0.035714286,0.0350884
Nk_cells,0.304347826,0.303463338
Nk_cells,0.269230769,0.268764752
Nk_cells,0.138888889,0.138445677
Nk_cells,0.263157895,0.262577782
Nk_cells,0.125,0.124634213
Nk_cells,0.114285714,0.114195381
Nk_cells,0.153846154,0.153742078
Nk_cells,0.230769231,0.230619375
Nk_cells,0.25,0.24289639
Nk_cells,0.216216216,0.212884896
Nk_cells,0.05,0.049964232
Nk_cells,0.041666667,0.041717159
Nk_cells,0.055555556,0.028636063
Nk_cells,0.1,0.099833873
Nk_cells,0.21875,0.217644173
Nk_cells,0.107142857,0.107047335
Nk_cells,0.083333333,0.083025362
Nk_cells,0.27027027,0.26985707
Nk_cells,0.027027027,0.01372386
Nk_cells,0.086956522,0.086210222
Nk_cells,0.086956522,0.086903576
Nk_cells,0.04,0.039880759
Nk_cells,0.052631579,0.052033062
Nk_cells,0.257142857,0.248000421
Nk_cells,0.272727273,0.2725803
Nk_cells,0.0625,0.062035453
Nk_cells,0.434782609,0.389866415
Nk_cells,0.470588235,0.468966867
Nk_cells,0.388888889,0.388691057
Nk_cells,0.321428571,0.321306101
Nk_cells,0.05,0.060531032
Nk_cells,0.1,0
Nk_cells,0.243243243,0.236898604
Nk_cells,0.32,0.319540103
Nk_cells,0.205882353,0.205702731
Nk_cells,0.043478261,0.04344012
Nk_cells,0.28125,0.280860468
Nk_cells,0,3.23E-05
Nk_cells,0.2,0.196783578
Nk_cells,0.041666667,0.040964469
Nk_cells,0.162162162,0.165721613
Nk_cells,0.135135135,0.135046578
Nk_cells,0.25,0.195663607
Nk_cells,0.076923077,0.07421811
Nk_cells,0.08,0.07995623
Nk_cells,0.130434783,0.130176625
Nk_cells,0.388888889,0.388697617
Nk_cells,0,0.000160341
Nk_cells,0.363636364,0.362804276
Nk_cells,0.216216216,0.176619788
Nk_cells,0.12195122,0.121783392
Nk_cells,0.285714286,0.285579707
Nk_cells,0.225,0.226166785
Nk_cells,0.176470588,0.176367505
Nk_cells,0.170731707,0.167232554
Nk_cells,0.08,0.079478183
Nk_cells,0.086956522,0.086110678
Nk_cells,0.277777778,0.277615353
Nk_cells,0.071428571,0.071329305
Nk_cells,0.142857143,0.142730653
Nk_cells,0.233333333,0.233512544
Nk_cells,0.206896552,0.206739057
Nk_cells,0.227272727,0.214846553
Nk_cells,0.304347826,0.304197829
Nk_cells,0.205128205,0.2054354
Nk_cells,0.184210526,0.183602537
Nk_cells,0.147058824,0.146295088
Nk_cells,0.208333333,0.207991639
Nk_cells,0.476190476,0.47534063
Nk_cells,0.318181818,0.318013859
Nk_cells,0,0
